Year,Month,Day,Place,Hot.Dogs,MINS,NAME,CONTEST,Qual,Gender,Location
2006,Jul,4,14th,20.5,12,"Seaver ""the Achiever"" Miller",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2006,Jul,4,16th,20,12,Robert Andersson,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2006,Jul,4,17th,19,12,"Hall ""Hoover"" Hunt",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2006,Jul,4,18th,18,12,"Kamil ""the Hague"" Hamersky",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2006,Jul,4,19th,16,12,Kenji Oguni,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2006,Jul,4,20th,1,12,"""Jalapeno"" Jed Donahue",Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
2006,Jul,3,1st,22,12,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jul,3,2nd,18,12,"""The Natural"" Arturo Rios, Jr.",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jul,3,3rd,16,12,"William ""Wild Bill"" Myers",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jul,3,4th,15.5,12,"Russ ""The Black Hole"" Keeler",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jul,3,5th,14.75,12,"Don ""Moses"" Lerman",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jul,3,6th,14.5,12,"Joe ""JamminJoe"" LaRue",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jul,3,7th,13.5,12,"""Krazy"" Kevin Lipsitz",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Brooklyn, NY"
2006,Jun,27,1st,30.5,12,"Eric ""Badlands"" Booker",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Manhattan, NY"
2006,Jun,27,2nd,12.5,12,John Scrafani,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Manhattan, NY"
2006,Jun,27,3rd,10,12,Frank Fumanante,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Manhattan, NY"
2006,Jun,24,1st,33,12,"Pat ""Deep Dish"" Bertoletti",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Atlanta, GA"
