Year,Month,Day,Place,Hot.Dogs,MINS,NAME,CONTEST,Qual,Gender,Location
2005,May,28,1st,22.5,12,"Tim ""Eater X"" Janus",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2005,May,28,1st,20.5,12,"Pat ""from Moonachie"" Philbin",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2005,May,28,2nd,19.5,12,"""Buffalo"" Jim Reeves",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2005,May,28,2nd,18.5,12,"Allen ""Shredder"" Goldstein",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2005,May,28,3rd,18.75,12,"Bob ""The Notorious B.O.B."" Shoudt",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2005,May,28,4th,18,12,"""Big"" Brian Subich",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Philadelphia, PA"
2005,May,28,?,12.5,12,Mike LeMay,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"East Hartford, CT"
2005,May,19,1st,27,12,"Rich ""The Locust"" LeFevre",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2005,May,19,2nd,22,12,Ron Koch,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2005,May,19,3rd,18,12,Carlene LeFevre,Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Las Vegas, NV"
2005,Mar,31,1st,4.46,6 ,"Ed ""Cookie"" Jarvis",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,2nd,?,6 ,"Tim ""Eater X"" Janus",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,3rd,?,6 ,"Leon ""Justice"" Feingold",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,4th,?,6 ,"Bob ""The Notorious B.O.B."" Shoudt",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,3,6 ,"""Beautiful"" Brian Seiken",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,?,6 ,"Eric ""Badlands"" Booker",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,?,6 ,Crazy Legs Conti,Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,?,6 ,"Allen ""Shredder"" Goldstein",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,?,6 ,"""Hungry"" Charles Hardy",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,?,6 ,"Don ""Moses"" Lerman",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2005,Mar,31,?,?,6 ,"Corrie ""milkshake"" Monson",Nathan's Famous World French Fry Eating Championship,,,"Oceanside, NY"
2004,Aug,22,1st,20.5,12,"Don ""Moses"" Lerman",Nathan's Famous Hot Dog Eating Contest ,Qualifier ,,"Saratoga Springs, NY"
2004,Jul,4,1st,53.5,12,Takeru Kobayashi,Nathan's Famous Hot Dog Eating Contest,,,"Brooklyn, NY"
